Element,Episode,Title,Included
Apple Frame,S01E01,A WALK IN THE WOODS,0
Aurora Borealis,S01E01,A WALK IN THE WOODS,0
Barn,S01E01,A WALK IN THE WOODS,0
Beach,S01E01,A WALK IN THE WOODS,0
Boat,S01E01,A WALK IN THE WOODS,0
Bridge,S01E01,A WALK IN THE WOODS,0
Building,S01E01,A WALK IN THE WOODS,0
Bushes,S01E01,A WALK IN THE WOODS,1
Cabin,S01E01,A WALK IN THE WOODS,0
Cactus,S01E01,A WALK IN THE WOODS,0
Circle Frame,S01E01,A WALK IN THE WOODS,0
Cirrus,S01E01,A WALK IN THE WOODS,0
Cliff,S01E01,A WALK IN THE WOODS,0
Clouds,S01E01,A WALK IN THE WOODS,0
Conifer,S01E01,A WALK IN THE WOODS,0
Cumulus,S01E01,A WALK IN THE WOODS,0
Deciduous,S01E01,A WALK IN THE WOODS,1
Diane Andre,S01E01,A WALK IN THE WOODS,0
Dock,S01E01,A WALK IN THE WOODS,0
Double Oval Frame,S01E01,A WALK IN THE WOODS,0
Farm,S01E01,A WALK IN THE WOODS,0
Fence,S01E01,A WALK IN THE WOODS,0
Fire,S01E01,A WALK IN THE WOODS,0
Florida Frame,S01E01,A WALK IN THE WOODS,0
Flowers,S01E01,A WALK IN THE WOODS,0
FOG,S01E01,A WALK IN THE WOODS,0
Framed,S01E01,A WALK IN THE WOODS,0
Grass,S01E01,A WALK IN THE WOODS,1
Guest,S01E01,A WALK IN THE WOODS,0
Half Circle Frame,S01E01,A WALK IN THE WOODS,0
Half Oval Frame,S01E01,A WALK IN THE WOODS,0
Hills,S01E01,A WALK IN THE WOODS,0
Lakes,S01E01,A WALK IN THE WOODS,0
Lake,S01E01,A WALK IN THE WOODS,0
Lighthouse,S01E01,A WALK IN THE WOODS,0
Mill,S01E01,A WALK IN THE WOODS,0
Moon,S01E01,A WALK IN THE WOODS,0
Mountains,S01E01,A WALK IN THE WOODS,0
Mountain,S01E01,A WALK IN THE WOODS,0
Night,S01E01,A WALK IN THE WOODS,0
Ocean,S01E01,A WALK IN THE WOODS,0
Oval Frame,S01E01,A WALK IN THE WOODS,0
Palm Trees,S01E01,A WALK IN THE WOODS,0
Path,S01E01,A WALK IN THE WOODS,0
Person,S01E01,A WALK IN THE WOODS,0
Portrait,S01E01,A WALK IN THE WOODS,0
Rectangle 3D Frame,S01E01,A WALK IN THE WOODS,0
Rectangular Frame,S01E01,A WALK IN THE WOODS,0
River,S01E01,A WALK IN THE WOODS,1
Rocks,S01E01,A WALK IN THE WOODS,0
Seashell Frame,S01E01,A WALK IN THE WOODS,0
Snowy Mountain,S01E01,A WALK IN THE WOODS,0
Snow,S01E01,A WALK IN THE WOODS,0
Split Frame,S01E01,A WALK IN THE WOODS,0
Steve Ross,S01E01,A WALK IN THE WOODS,0
Structure,S01E01,A WALK IN THE WOODS,0
SUN,S01E01,A WALK IN THE WOODS,0
Tomb Frame,S01E01,A WALK IN THE WOODS,0
Trees,S01E01,A WALK IN THE WOODS,1
Tree,S01E01,A WALK IN THE WOODS,1
Triple Frame,S01E01,A WALK IN THE WOODS,0
Waterfall,S01E01,A WALK IN THE WOODS,0
Waves,S01E01,A WALK IN THE WOODS,0
Windmill,S01E01,A WALK IN THE WOODS,0
Window Frame,S01E01,A WALK IN THE WOODS,0
Winter,S01E01,A WALK IN THE WOODS,0
Wood Framed,S01E01,A WALK IN THE WOODS,0
Apple Frame,S01E02,MT. MCKINLEY,0
Aurora Borealis,S01E02,MT. MCKINLEY,0
Barn,S01E02,MT. MCKINLEY,0
Beach,S01E02,MT. MCKINLEY,0
Boat,S01E02,MT. MCKINLEY,0
